Instance, Min Distance, Time To Best (ms), Max Time (ms), Cost, Max Cost, Capacity, Min Capacity, LS1, LS2, LS3, Shake Iters, Shake Loops
GKD-c_01_n500_b02_m50_k02,9.4,2878,60000,61107,62820,50485,50374,297916/309465,2915/11549,0/0,8623,860
GKD-c_01_n500_b02_m50_k02,9.4,26293,60000,59906,62820,50494,50374,275484/286469,3200/10985,0/0,7765,773
GKD-c_01_n500_b02_m50_k02,9.4,25858,60000,60146,62820,50568,50374,266317/278188,4400/11871,0/0,7457,741
GKD-c_01_n500_b02_m50_k02,9.3,182,60000,62222,62820,50375,50374,247329/257807,3651/10478,0/0,6821,680
GKD-c_01_n500_b02_m50_k02,9.4,1675,60000,59995,62820,50598,50374,298041/309544,3142/11503,0/0,8350,832
GKD-c_01_n500_b02_m50_k02,9.4,1127,60000,60848,62820,50483,50374,244321/255433,4606/11112,0/0,6494,646
GKD-c_01_n500_b02_m50_k02,9.4,1445,60000,60999,62820,50399,50374,296152/307651,3153/11499,0/0,8334,831
GKD-c_01_n500_b02_m50_k02,9.4,41921,60000,62132,62820,50423,50374,262285/273479,3504/11194,0/0,7678,764
GKD-c_01_n500_b02_m50_k02,9.4,2762,60000,59908,62820,50400,50374,267595/278514,3388/10919,0/0,7519,750
GKD-c_01_n500_b02_m50_k02,9.4,53422,60000,60829,62820,50631,50374,312724/324422,2754/11698,0/0,8930,891
GKD-c_01_n500_b02_m50_k02,9.4,14716,60000,59895,62820,50380,50374,286515/298195,3513/11680,0/0,8144,811
GKD-c_01_n500_b02_m50_k02,9.4,1803,60000,60317,62820,50374,50374,326416/338460,2671/12044,0/0,9354,933
GKD-c_01_n500_b02_m50_k02,9.4,28150,60000,60532,62820,50393,50374,278603/289698,3265/11095,0/0,7822,780
GKD-c_01_n500_b02_m50_k02,9.3,153,60000,61351,62820,50381,50374,272779/283312,2485/10533,0/0,8041,802
GKD-c_01_n500_b02_m50_k02,9.4,3045,60000,60839,62820,50457,50374,244827/255691,4246/10864,0/0,6610,660
GKD-c_01_n500_b02_m50_k02,9.4,3579,60000,60506,62820,50476,50374,296893/308454,3245/11561,0/0,8305,828
GKD-c_01_n500_b02_m50_k02,9.4,18380,60000,60829,62820,50436,50374,297266/308346,2623/11080,0/0,8449,843
GKD-c_01_n500_b02_m50_k02,9.4,19421,60000,61484,62820,50391,50374,272176/283652,3406/11476,0/0,8060,804
GKD-c_01_n500_b02_m50_k02,9.4,2412,60000,60634,62820,50432,50374,296256/308228,3609/11972,0/0,8347,831
GKD-c_01_n500_b02_m50_k02,9.4,126,60000,60427,62820,50377,50374,326829/338812,2218/11983,0/0,9761,975
GKD-c_01_n500_b02_m50_k02,9.4,6867,60000,60061,62820,50421,50374,287377/299021,3777/11644,0/0,7853,783
GKD-c_01_n500_b02_m50_k02,9.4,4614,60000,61928,62820,50413,50374,304980/316670,2425/11690,0/0,9249,922
GKD-c_01_n500_b02_m50_k02,9.4,3202,60000,60641,62820,50404,50374,302227/313879,2408/11652,0/0,9236,921
GKD-c_01_n500_b02_m50_k02,9.4,9027,60000,60811,62820,50521,50374,285295/296518,3036/11223,0/0,8176,814
GKD-c_01_n500_b02_m50_k02,9.4,32601,60000,61227,62820,50462,50374,284831/295789,2583/10958,0/0,8353,831
GKD-c_01_n500_b02_m50_k02,9.4,1277,60000,60123,62820,50554,50374,308379/319952,2740/11573,0/0,8818,879
GKD-c_01_n500_b02_m50_k02,9.4,12772,60000,61928,62820,50413,50374,314476/326428,2268/11952,0/0,9671,964
GKD-c_01_n500_b02_m50_k02,9.4,18985,60000,61090,62820,50393,50374,267036/278047,3524/11011,0/0,7475,745
GKD-c_01_n500_b02_m50_k02,9.4,31996,60000,59931,62820,50414,50374,248439/258970,3572/10531,0/0,6949,694
GKD-c_01_n500_b02_m50_k02,9.4,3628,60000,61800,62820,50397,50374,282787/293761,2626/10974,0/0,8329,830
GKD-c_01_n500_b02_m50_k03,9.4,4161,60000,63943,94230,50412,50374,268560/279378,3141/10818,0/0,7655,760
GKD-c_01_n500_b02_m50_k03,9.4,6143,60000,63920,94230,50398,50374,270379/281121,3025/10742,0/0,7703,767
GKD-c_01_n500_b02_m50_k03,9.4,23687,60000,64361,94230,50375,50374,306588/317813,2105/11225,0/0,9111,909
GKD-c_01_n500_b02_m50_k03,9.4,2760,60000,60759,94230,50595,50374,285369/296851,3654/11482,0/0,7812,778
GKD-c_01_n500_b02_m50_k03,9.4,7197,60000,63054,94230,50524,50374,282511/293181,2631/10670,0/0,8031,801
GKD-c_01_n500_b02_m50_k03,9.4,19276,60000,63235,94230,50403,50374,302232/313362,2496/11130,0/0,8620,858
GKD-c_01_n500_b02_m50_k03,9.4,2003,60000,59931,94230,50414,50374,262882/273949,3838/11067,0/0,7214,719
GKD-c_01_n500_b02_m50_k03,9.4,2745,60000,60744,94230,50388,50374,309901/321647,2824/11746,0/0,8908,888
GKD-c_01_n500_b02_m50_k03,9.4,4294,60000,60913,94230,50401,50374,321878/333484,2434/11606,0/0,9158,912
GKD-c_01_n500_b02_m50_k03,9.4,12102,60000,60206,94230,50493,50374,271178/281962,3594/10784,0/0,7177,714
GKD-c_01_n500_b02_m50_k03,9.4,3756,60000,63558,94230,50446,50374,271041/281523,2950/10482,0/0,7518,748
GKD-c_01_n500_b02_m50_k03,9.4,11140,60000,60150,94230,50408,50374,273138/284322,3800/11184,0/0,7370,734
GKD-c_01_n500_b02_m50_k03,9.4,1164,60000,60807,94230,50377,50374,279988/292031,4496/12043,0/0,7534,751
GKD-c_01_n500_b02_m50_k03,9.4,4117,60000,62745,94230,50510,50374,287335/297883,2132/10548,0/0,8406,838
GKD-c_01_n500_b02_m50_k03,9.4,8840,60000,64473,94230,50602,50374,258701/269391,3652/10690,0/0,7021,698
GKD-c_01_n500_b02_m50_k03,9.4,36701,60000,62498,94230,50374,50374,298578/309741,2303/11163,0/0,8846,883
GKD-c_01_n500_b02_m50_k03,9.4,1029,60000,60064,94230,50383,50374,301217/312813,3301/11596,0/0,8287,827
GKD-c_01_n500_b02_m50_k03,9.4,14186,60000,60061,94230,50421,50374,281750/292905,3522/11155,0/0,7621,759
GKD-c_01_n500_b02_m50_k03,9.4,1648,60000,62716,94230,50417,50374,319809/331001,1529/11192,0/0,9648,962
GKD-c_01_n500_b02_m50_k03,9.4,10532,60000,60913,94230,50401,50374,320776/332300,2359/11524,0/0,9149,911
GKD-c_01_n500_b02_m50_k03,9.3,111,60000,62041,94230,50408,50374,256364/267289,3983/10925,0/0,6934,691
GKD-c_01_n500_b02_m50_k03,9.4,2471,60000,60450,94230,50391,50374,291632/302954,3176/11322,0/0,8138,812
GKD-c_01_n500_b02_m50_k03,9.4,3910,60000,62374,94230,50436,50374,294178/305136,2399/10958,0/0,8546,853
GKD-c_01_n500_b02_m50_k03,9.4,4661,60000,60206,94230,50493,50374,282088/293299,3690/11211,0/0,7509,748
GKD-c_01_n500_b02_m50_k03,9.4,8926,60000,61887,94230,50406,50374,282144/292509,2277/10365,0/0,8079,806
GKD-c_01_n500_b02_m50_k03,9.4,11271,60000,63563,94230,50457,50374,269286/280091,3145/10805,0/0,7650,762
GKD-c_01_n500_b02_m50_k03,9.4,5243,60000,60150,94230,50408,50374,292222/303544,3247/11322,0/0,8067,803
GKD-c_01_n500_b02_m50_k03,9.4,48773,60000,63557,94230,50390,50374,275816/286936,3271/11120,0/0,7834,780
GKD-c_01_n500_b02_m50_k03,9.4,5708,60000,63451,94230,50466,50374,272810/283413,3055/10603,0/0,7533,751
GKD-c_01_n500_b02_m50_k03,9.4,2785,60000,59763,94230,50531,50374,294525/306085,3479/11560,0/0,8068,803
GKD-c_01_n500_b03_m50_k02,7,488,60000,62806,62820,75584,75562,72769/85336,5572/12567,0/0,6987,697
GKD-c_01_n500_b03_m50_k02,7.1,8945,60000,62813,62820,75568,75562,65812/79233,6071/13421,0/0,7334,730
GKD-c_01_n500_b03_m50_k02,7.1,5046,60000,62798,62820,75578,75562,71900/85618,4903/13718,0/0,8800,876
GKD-c_01_n500_b03_m50_k02,7.1,8466,60000,62819,62820,75568,75562,67086/80483,6707/13397,0/0,6679,666
GKD-c_01_n500_b03_m50_k02,7.1,43358,60000,62806,62820,75588,75562,66680/79853,5585/13173,0/0,7577,756
GKD-c_01_n500_b03_m50_k02,7.1,10693,60000,62814,62820,75580,75562,62852/75729,4759/12877,0/0,8100,806
GKD-c_01_n500_b03_m50_k02,7.1,19625,60000,62791,62820,75629,75562,66474/79881,5644/13407,0/0,7750,771
GKD-c_01_n500_b03_m50_k02,7.1,7676,60000,62817,62820,75581,75562,64987/78703,5354/13716,0/0,8348,832
GKD-c_01_n500_b03_m50_k02,7.1,2087,60000,62804,62820,75566,75562,69964/83625,4335/13661,0/0,9313,927
GKD-c_01_n500_b03_m50_k02,7.1,11547,60000,62814,62820,75568,75562,69100/82534,5583/13434,0/0,7838,781
GKD-c_01_n500_b03_m50_k02,7.2,10391,60000,62819,62820,75581,75562,70620/83663,6098/13043,0/0,6931,690
GKD-c_01_n500_b03_m50_k02,7.1,40468,60000,62811,62820,75571,75562,62266/75401,5310/13135,0/0,7815,779
GKD-c_01_n500_b03_m50_k02,7.1,1569,60000,62815,62820,75617,75562,75110/87757,4483/12647,0/0,8151,813
GKD-c_01_n500_b03_m50_k02,7.1,2300,60000,62812,62820,75565,75562,78700/91729,5435/13029,0/0,7581,756
GKD-c_01_n500_b03_m50_k02,7,296,60000,62815,62820,75564,75562,62312/75291,5899/12979,0/0,7071,704
GKD-c_01_n500_b03_m50_k02,7,411,60000,62815,62820,75568,75562,58947/72597,6669/13650,0/0,6969,693
GKD-c_01_n500_b03_m50_k02,7.1,19783,60000,62794,62820,75585,75562,67720/81099,5084/13379,0/0,8283,824
GKD-c_01_n500_b03_m50_k02,7.1,6111,60000,62789,62820,75571,75562,63833/77740,5265/13907,0/0,8634,861
GKD-c_01_n500_b03_m50_k02,7.1,5479,60000,62790,62820,75593,75562,72778/86199,5025/13421,0/0,8384,834
GKD-c_01_n500_b03_m50_k02,7.1,6233,60000,62795,62820,75578,75562,64042/77250,4286/13208,0/0,8906,887
GKD-c_01_n500_b03_m50_k02,7.2,35652,60000,62819,62820,75595,75562,69705/82907,5886/13202,0/0,7299,726
GKD-c_01_n500_b03_m50_k02,7.1,4723,60000,62810,62820,75578,75562,66608/79816,5333/13208,0/0,7860,781
GKD-c_01_n500_b03_m50_k02,7.1,6016,60000,62794,62820,75566,75562,58756/71801,4554/13045,0/0,8482,847
GKD-c_01_n500_b03_m50_k02,7.1,8740,60000,62777,62820,75586,75562,74703/87330,4690/12627,0/0,7922,789
GKD-c_01_n500_b03_m50_k02,7.1,4707,60000,62797,62820,75563,75562,68756/81623,5127/12867,0/0,7726,769
GKD-c_01_n500_b03_m50_k02,7.1,9771,60000,62723,62820,75611,75562,71732/84769,4982/13037,0/0,8040,801
GKD-c_01_n500_b03_m50_k02,7.1,5013,60000,62799,62820,75582,75562,73139/86137,5681/12998,0/0,7305,727
GKD-c_01_n500_b03_m50_k02,7,2310,60000,62799,62820,75566,75562,61874/74761,5767/12887,0/0,7107,708
GKD-c_01_n500_b03_m50_k02,7.1,1529,60000,62816,62820,75564,75562,67085/81093,4868/14008,0/0,9129,910
GKD-c_01_n500_b03_m50_k02,7.1,11119,60000,62797,62820,75605,75562,75154/88720,6032/13566,0/0,7519,747
GKD-c_01_n500_b03_m50_k03,8.3,700,60000,91168,94230,75578,75562,141435/147643,2026/6208,0/0,4169,415
GKD-c_01_n500_b03_m50_k03,8.3,796,60000,93605,94230,75587,75562,141600/148165,2530/6565,0/0,4021,399
GKD-c_01_n500_b03_m50_k03,8.3,583,60000,93021,94230,75627,75562,141761/148127,2149/6366,0/0,4208,419
GKD-c_01_n500_b03_m50_k03,8.4,11553,60000,91742,94230,75572,75562,131536/137736,2366/6200,0/0,3817,378
GKD-c_01_n500_b03_m50_k03,8.3,1159,60000,93083,94230,75640,75562,142443/148659,1658/6216,0/0,4545,451
GKD-c_01_n500_b03_m50_k03,8.3,313,60000,92888,94230,75614,75562,148914/155889,2746/6975,0/0,4217,421
GKD-c_01_n500_b03_m50_k03,8.4,39854,60000,91504,94230,75611,75562,160498/167471,2392/6973,0/0,4565,453
GKD-c_01_n500_b03_m50_k03,8.3,711,60000,92126,94230,75572,75562,136782/142975,1830/6193,0/0,4351,431
GKD-c_01_n500_b03_m50_k03,8.3,418,60000,90022,94230,75566,75562,140900/147087,2100/6187,0/0,4077,404
GKD-c_01_n500_b03_m50_k03,8.4,45189,60000,91543,94230,75624,75562,162830/169849,2150/7019,0/0,4854,483
GKD-c_01_n500_b03_m50_k03,8.3,649,60000,94133,94230,75708,75562,139789/146607,2577/6818,0/0,4230,420
GKD-c_01_n500_b03_m50_k03,8.3,791,60000,92588,94230,75562,75562,137420/144537,3090/7117,0/0,4013,397
GKD-c_01_n500_b03_m50_k03,8.3,462,60000,93993,94230,75596,75562,140368/146972,2170/6604,0/0,4422,440
GKD-c_01_n500_b03_m50_k03,8.3,899,60000,93729,94230,75630,75562,152626/159260,1987/6634,0/0,4634,460
GKD-c_01_n500_b03_m50_k03,8.4,6236,60000,91864,94230,75660,75562,177762/184995,1583/7233,0/0,5637,561
GKD-c_01_n500_b03_m50_k03,8.3,605,60000,92657,94230,75603,75562,121780/127736,2412/5956,0/0,3533,352
GKD-c_01_n500_b03_m50_k03,8.3,300,60000,89833,94230,75589,75562,126158/132582,2876/6424,0/0,3543,353
GKD-c_01_n500_b03_m50_k03,8.3,591,60000,92435,94230,75607,75562,153787/160336,1972/6549,0/0,4563,452
GKD-c_01_n500_b03_m50_k03,8.3,891,60000,91907,94230,75563,75562,159309/165970,1609/6661,0/0,5038,500
GKD-c_01_n500_b03_m50_k03,8.3,492,60000,92957,94230,75636,75562,139439/145724,2137/6285,0/0,4139,411
GKD-c_01_n500_b03_m50_k03,8.3,297,60000,90832,94230,75563,75562,167176/174029,1552/6853,0/0,5293,527
GKD-c_01_n500_b03_m50_k03,8.3,230,60000,92523,94230,75603,75562,115500/121354,2383/5854,0/0,3462,344
GKD-c_01_n500_b03_m50_k03,8.3,1716,60000,92023,94230,75576,75562,133141/139025,1923/5884,0/0,3948,392
GKD-c_01_n500_b03_m50_k03,8.4,58758,60000,92719,94230,75570,75562,128485/135150,2936/6665,0/0,3707,367
GKD-c_01_n500_b03_m50_k03,8.3,405,60000,92809,94230,75579,75562,153311/160224,2070/6913,0/0,4830,480
GKD-c_01_n500_b03_m50_k03,8.3,983,60000,92477,94230,75622,75562,143883/150393,2288/6510,0/0,4211,419
GKD-c_01_n500_b03_m50_k03,8.3,514,60000,92483,94230,75584,75562,140249/146612,1886/6363,0/0,4465,442
GKD-c_01_n500_b03_m50_k03,8.3,280,60000,93511,94230,75738,75562,161807/169511,2808/7704,0/0,4886,488
GKD-c_01_n500_b03_m50_k03,8.3,2123,60000,93661,94230,75611,75562,143757/150569,2383/6812,0/0,4414,439
GKD-c_01_n500_b03_m50_k03,8.3,2623,60000,93881,94230,75617,75562,161740/169108,2500/7368,0/0,4850,482
GKD-c_02_n500_b02_m50_k02,9.2,5438,60000,60015,61952,50843,50726,282256/294134,2889/11878,0/0,8977,896
GKD-c_02_n500_b02_m50_k02,9.3,4638,60000,60891,61952,50727,50726,252910/263667,2649/10757,0/0,8092,806
GKD-c_02_n500_b02_m50_k02,9.2,3565,60000,58259,61952,50828,50726,284018/295868,3045/11850,0/0,8788,877
GKD-c_02_n500_b02_m50_k02,9.2,1256,60000,61434,61952,50737,50726,262341/273723,3534/11382,0/0,7830,780
GKD-c_02_n500_b02_m50_k02,9.3,11650,60000,61927,61952,50742,50726,253408/264949,3034/11541,0/0,8492,845
GKD-c_02_n500_b02_m50_k02,9.3,18201,60000,59544,61952,50762,50726,247831/258370,2936/10539,0/0,7588,756
GKD-c_02_n500_b02_m50_k02,9.3,5169,60000,61116,61952,50781,50726,244388/255238,3794/10850,0/0,7039,699
GKD-c_02_n500_b02_m50_k02,9.3,3508,60000,61227,61952,50745,50726,257571/268868,2670/11297,0/0,8613,857
GKD-c_02_n500_b02_m50_k02,9.2,1249,60000,60337,61952,50728,50726,269581/281085,3424/11504,0/0,8064,804
GKD-c_02_n500_b02_m50_k02,9.3,628,60000,61094,61952,50729,50726,262947/274271,2641/11324,0/0,8670,864
GKD-c_02_n500_b02_m50_k02,9.2,390,60000,60816,61952,50726,50726,292865/305359,2376/12494,0/0,10104,1008
GKD-c_02_n500_b02_m50_k02,9.3,5407,60000,60079,61952,50745,50726,251522/262549,2715/11027,0/0,8290,825
GKD-c_02_n500_b02_m50_k02,9.2,4070,60000,59848,61952,50790,50726,273334/286170,3877/12836,0/0,8945,892
GKD-c_02_n500_b02_m50_k02,9.3,2596,60000,60597,61952,50762,50726,255966/267186,2636/11220,0/0,8569,853
GKD-c_02_n500_b02_m50_k02,9.3,47529,60000,61751,61952,50799,50726,288646/300558,2736/11912,0/0,9158,913
GKD-c_02_n500_b02_m50_k02,9.3,3527,60000,61162,61952,50743,50726,244027/254720,2923/10693,0/0,7754,771
GKD-c_02_n500_b02_m50_k02,9.3,23380,60000,60746,61952,50750,50726,260434/271554,3188/11120,0/0,7912,786
GKD-c_02_n500_b02_m50_k02,9.3,2206,60000,61328,61952,50783,50726,253665/265233,3780/11568,0/0,7774,774
GKD-c_02_n500_b02_m50_k02,9.3,1373,60000,59941,61952,50751,50726,263121/274309,3016/11188,0/0,8156,812
GKD-c_02_n500_b02_m50_k02,9.3,13021,60000,60149,61952,50739,50726,275259/287462,2925/12203,0/0,9256,921
GKD-c_02_n500_b02_m50_k02,9.3,2570,60000,61479,61952,50770,50726,256381/267524,3255/11143,0/0,7875,784
GKD-c_02_n500_b02_m50_k02,9.3,4543,60000,61857,61952,50736,50726,258786/270420,3497/11634,0/0,8125,811
GKD-c_02_n500_b02_m50_k02,9.3,46124,60000,60951,61952,50730,50726,279570/291642,2628/12072,0/0,9424,940
GKD-c_02_n500_b02_m50_k02,9.3,2489,60000,61261,61952,50748,50726,251746/263156,2140/11410,0/0,9256,922
GKD-c_02_n500_b02_m50_k02,9.3,36020,60000,61199,61952,50795,50726,267319/278932,3105/11613,0/0,8487,845
GKD-c_02_n500_b02_m50_k02,9.3,1415,60000,59528,61952,50753,50726,245717/256503,3179/10786,0/0,7599,757
GKD-c_02_n500_b02_m50_k02,9.3,29375,60000,60743,61952,50730,50726,264905/277042,3836/12137,0/0,8282,826
GKD-c_02_n500_b02_m50_k02,9.3,2549,60000,61115,61952,50765,50726,275824/287616,2230/11792,0/0,9551,952
GKD-c_02_n500_b02_m50_k02,9.3,7187,60000,60163,61952,50860,50726,256388/267749,3745/11361,0/0,7603,759
GKD-c_02_n500_b02_m50_k02,9.3,5806,60000,61398,61952,50754,50726,270685/281901,3027/11216,0/0,8166,812
GKD-c_02_n500_b02_m50_k03,9.3,29765,60000,60597,92929,50762,50726,261943/273447,3237/11504,0/0,8257,823
GKD-c_02_n500_b02_m50_k03,9.3,20482,60000,63342,92929,50865,50726,262874/273603,2258/10729,0/0,8446,841
GKD-c_02_n500_b02_m50_k03,9.3,3640,60000,62435,92929,50750,50726,252028/262805,3075/10777,0/0,7677,764
GKD-c_02_n500_b02_m50_k03,9.2,839,60000,59258,92929,50847,50726,270444/282163,3501/11719,0/0,8210,818
GKD-c_02_n500_b02_m50_k03,9.3,4948,60000,62377,92929,50813,50726,265941/277003,2096/11062,0/0,8951,893
GKD-c_02_n500_b02_m50_k03,9.2,5063,60000,61257,92929,50746,50726,275981/287767,3368/11786,0/0,8404,837
GKD-c_02_n500_b02_m50_k03,9.2,12679,60000,62398,92929,50743,50726,280525/292235,3470/11710,0/0,8224,819
GKD-c_02_n500_b02_m50_k03,9.3,16195,60000,64848,92929,50734,50726,278251/289379,2029/11128,0/0,9084,906
GKD-c_02_n500_b02_m50_k03,9.3,7373,60000,61650,92929,50738,50726,244462/255127,3441/10665,0/0,7206,717
GKD-c_02_n500_b02_m50_k03,9.3,8124,60000,64306,92929,50805,50726,232861/242423,3309/9562,0/0,6237,621
GKD-c_02_n500_b02_m50_k03,9.3,2791,60000,62766,92929,50765,50726,254285/265035,3505/10750,0/0,7237,722
GKD-c_02_n500_b02_m50_k03,9.2,451,60000,60652,92929,50921,50726,277325/288852,3189/11527,0/0,8332,831
GKD-c_02_n500_b02_m50_k03,9.3,2410,60000,62531,92929,50777,50726,240077/250963,4028/10886,0/0,6843,682
GKD-c_02_n500_b02_m50_k03,9.3,8955,60000,63091,92929,50889,50726,246969/257488,2743/10519,0/0,7764,774
GKD-c_02_n500_b02_m50_k03,9.3,2643,60000,61826,92929,50754,50726,270174/281157,2586/10983,0/0,8379,834
GKD-c_02_n500_b02_m50_k03,9.3,10243,60000,63093,92929,50730,50726,287049/298032,2270/10983,0/0,8699,867
GKD-c_02_n500_b02_m50_k03,9.3,719,60000,61477,92929,50762,50726,254993/265318,1963/10325,0/0,8348,830
GKD-c_02_n500_b02_m50_k03,9.3,870,60000,60494,92929,50749,50726,271978/282503,1863/10525,0/0,8642,861
GKD-c_02_n500_b02_m50_k03,9.3,7646,60000,62687,92929,50744,50726,263883/275005,3347/11122,0/0,7764,774
GKD-c_02_n500_b02_m50_k03,9.3,3048,60000,62310,92929,50810,50726,283337/294828,1530/11491,0/0,9948,993
GKD-c_02_n500_b02_m50_k03,9.2,242,60000,62037,92929,50740,50726,256309/267750,4080/11441,0/0,7351,733
GKD-c_02_n500_b02_m50_k03,9.3,13326,60000,61823,92929,50727,50726,276026/287542,3285/11516,0/0,8217,817
GKD-c_02_n500_b02_m50_k03,9.3,13286,60000,61883,92929,50761,50726,281957/293299,2733/11342,0/0,8597,857
GKD-c_02_n500_b02_m50_k03,9.3,917,60000,61194,92929,50752,50726,261354/271983,1781/10629,0/0,8842,883
GKD-c_02_n500_b02_m50_k03,9.3,3408,60000,62036,92929,50729,50726,243047/253527,3635/10480,0/0,6825,678
GKD-c_02_n500_b02_m50_k03,9.3,28306,60000,61292,92929,50756,50726,280774/292291,2985/11517,0/0,8513,847
GKD-c_02_n500_b02_m50_k03,9.3,2904,60000,61821,92929,50808,50726,229171/239901,4349/10730,0/0,6366,635
GKD-c_02_n500_b02_m50_k03,9.3,10245,60000,61320,92929,50771,50726,263818/274977,3133/11159,0/0,8013,799
GKD-c_02_n500_b02_m50_k03,9.3,12833,60000,61603,92929,50746,50726,244825/255802,4157/10977,0/0,6803,677
GKD-c_02_n500_b02_m50_k03,9.3,966,60000,59063,92929,50727,50726,262173/273207,2655/11034,0/0,8371,836
GKD-c_02_n500_b03_m50_k02,7.3,2302,60000,61937,61952,76111,76089,58313/71123,4941/12810,0/0,7857,783
GKD-c_02_n500_b03_m50_k02,7.3,3835,60000,61928,61952,76108,76089,63198/75951,4633/12753,0/0,8107,806
GKD-c_02_n500_b03_m50_k02,7.3,327,60000,61944,61952,76125,76089,61340/73554,5211/12214,0/0,6994,697
GKD-c_02_n500_b03_m50_k02,7.3,8764,60000,61935,61952,76093,76089,60650/72237,4371/11587,0/0,7200,717
GKD-c_02_n500_b03_m50_k02,7.3,853,60000,61923,61952,76094,76089,61736/72318,4278/10582,0/0,6289,623
GKD-c_02_n500_b03_m50_k02,7.3,2758,60000,61940,61952,76102,76089,64347/76750,4581/12403,0/0,7812,779
GKD-c_02_n500_b03_m50_k02,7.3,12638,60000,61950,61952,76120,76089,64634/76320,4736/11686,0/0,6942,691
GKD-c_02_n500_b03_m50_k02,7.3,2597,60000,61949,61952,76115,76089,60901/73233,3951/12332,0/0,8368,834
GKD-c_02_n500_b03_m50_k02,7.3,1608,60000,61952,61952,76090,76089,60050/71710,3591/11660,0/0,8059,803
GKD-c_02_n500_b03_m50_k02,7.3,3644,60000,61948,61952,76122,76089,62905/75508,5620/12603,0/0,6971,694
GKD-c_02_n500_b03_m50_k02,7.3,1393,60000,61932,61952,76106,76089,62793/74619,4552/11826,0/0,7266,725
GKD-c_02_n500_b03_m50_k02,7.3,2192,60000,61932,61952,76105,76089,60464/71541,3379/11077,0/0,7688,766
GKD-c_02_n500_b03_m50_k02,7.3,3418,60000,61894,61952,76140,76089,61529/72362,4277/10833,0/0,6542,651
GKD-c_02_n500_b03_m50_k02,7.3,916,60000,61930,61952,76091,76089,57197/69137,3837/11940,0/0,8094,807
GKD-c_02_n500_b03_m50_k02,7.3,4118,60000,61948,61952,76114,76089,58552/70419,4893/11867,0/0,6965,693
GKD-c_02_n500_b03_m50_k02,7.3,4337,60000,61952,61952,76135,76089,63751/75689,5185/11938,0/0,6740,672
GKD-c_02_n500_b03_m50_k02,7.3,2125,60000,61943,61952,76090,76089,59052/70514,5185/11462,0/0,6264,622
GKD-c_02_n500_b03_m50_k02,7.3,1675,60000,61922,61952,76102,76089,56591/67672,4698/11081,0/0,6368,633
GKD-c_02_n500_b03_m50_k02,7.3,1303,60000,61948,61952,76146,76089,64537/76012,4762/11475,0/0,6696,666
GKD-c_02_n500_b03_m50_k02,7.3,2158,60000,61909,61952,76089,76089,61870/72507,5033/10637,0/0,5594,555
GKD-c_02_n500_b03_m50_k02,7.3,7821,60000,61948,61952,76089,76089,63409/75785,3974/12376,0/0,8394,837
GKD-c_02_n500_b03_m50_k02,7.3,5138,60000,61948,61952,76094,76089,64691/75626,3163/10935,0/0,7759,771
GKD-c_02_n500_b03_m50_k02,7.3,5640,60000,61884,61952,76094,76089,59264/70758,5234/11494,0/0,6244,620
GKD-c_02_n500_b03_m50_k02,7.3,33965,60000,61950,61952,76096,76089,66980/79809,5354/12829,0/0,7462,742
GKD-c_02_n500_b03_m50_k02,7.3,3860,60000,61945,61952,76089,76089,63579/74694,3983/11115,0/0,7116,708
GKD-c_02_n500_b03_m50_k02,7.3,4192,60000,61895,61952,76128,76089,62117/73012,2964/10895,0/0,7910,787
GKD-c_02_n500_b03_m50_k02,7.3,1366,60000,61933,61952,76104,76089,62583/74055,3877/11472,0/0,7583,754
GKD-c_02_n500_b03_m50_k02,7.3,1410,60000,61929,61952,76108,76089,61849/73693,4464/11844,0/0,7367,733
GKD-c_02_n500_b03_m50_k02,7.3,1040,60000,61931,61952,76090,76089,72276/83413,4000/11137,0/0,7129,710
GKD-c_02_n500_b03_m50_k02,7.3,1618,60000,61950,61952,76092,76089,65843/78291,4681/12448,0/0,7758,774
GKD-c_02_n500_b03_m50_k03,8.4,1947,60000,90336,92929,76187,76089,178518/185858,1715/7340,0/0,5609,557
GKD-c_02_n500_b03_m50_k03,8.4,14936,60000,91490,92929,76111,76089,162915/170066,2272/7151,0/0,4860,482
GKD-c_02_n500_b03_m50_k03,8.4,31179,60000,92643,92929,76229,76089,173742/181398,2291/7656,0/0,5347,530
GKD-c_02_n500_b03_m50_k03,8.4,7216,60000,91491,92929,76148,76089,160105/167218,2140/7113,0/0,4955,491
GKD-c_02_n500_b03_m50_k03,8.3,1994,60000,89153,92929,76129,76089,173600/180906,2261/7306,0/0,5031,501
GKD-c_02_n500_b03_m50_k03,8.4,14054,60000,87439,92929,76108,76089,172162/179078,1609/6916,0/0,5294,526
GKD-c_02_n500_b03_m50_k03,8.4,7355,60000,91391,92929,76128,76089,157990/165031,2305/7041,0/0,4715,467
GKD-c_02_n500_b03_m50_k03,8.4,4404,60000,90333,92929,76090,76089,161648/168900,2414/7252,0/0,4822,479
GKD-c_02_n500_b03_m50_k03,8.4,2045,60000,89793,92929,76093,76089,190588/198349,1882/7761,0/0,5860,582
GKD-c_02_n500_b03_m50_k03,8.4,13036,60000,91934,92929,76091,76089,161301/168679,2652/7378,0/0,4711,467
GKD-c_02_n500_b03_m50_k03,8.4,9995,60000,88779,92929,76164,76089,164543/171602,2455/7059,0/0,4579,454
